BindingDB MonomerID,IC50 (nM),Ligand SMILES
wild_50582726,10,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cnn(CC4(O)COC4)c3C)nc2n1C
wild_50582717,1287,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3nn(C)cc3C)cc2n1C
wild_50582712,28,C[C@@H]1CCCN1c1c(C#N)c2c(N)nccc2n1C
wild_50582707,11,C[C@@H]1CCCN1c1c(C#N)c2c(N)ncnc2n1C
wild_50582711,2240,C[C@@H]1CCCN1c1c(C(N)=O)c2c(N)ncnc2n1C
wild_50582710,6387,C[C@@H]1CCCN1c1cc2c(N)ncnc2n1C
wild_50360301,16,C[C@@H]1CCNC(=O)c2cc3ccc(cc3n12)C(=O)Nc1nc2ccccc2n1CCCN(C)C
wild_634465,55,C[C@@H]1CCNC(=O)O[C@@H](C)c2cccc(n2)-c2n[nH]c3ccc(O1)cc23
wild_634469,55,C[C@@H]1CCNC(=O)O[C@@H](C)c2cncc(n2)-c2n[nH]c3ccc(O1)cc23
wild_634445,55,C[C@@H]1CCNC(=O)OC(C)c2nccc(n2)-c2n[nH]c3ccc(O1)cc23
wild_634435,550,C[C@@H]1CCNC(=O)OCc2cccc(-c3n[nH]c4ccc(O1)cc34)c2F
wild_634455,55,C[C@@H]1CCNC(=O)OCc2ccnc(n2)-c2n[nH]c3ccc(O1)cc23
wild_634473,55,C[C@@H]1CCNC(=O)OCc2nc(cn2C)-c2n[nH]c3ccc(O1)cc23
wild_634476,55,C[C@@H]1CCNC(=O)OCCc2nc(cn2C)-c2n[nH]c3ccc(O1)cc23
wild_239376,20.5,C[C@@H]1CN(CCO1)c1cc(ncn1)-c1n[nH]c2cc(F)c(cc12)-c1cnn(C)c1
wild_239508,16.4,C[C@@H]1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(C=C(C)C)cc12
wild_239545,3.2,C[C@@H]1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1c(C)n[nH]c1C
wild_239399,1.9,C[C@@H]1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_50059311,18,C[C@@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_185469,67,C[C@@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cnn(C)c3)c12
wild_50597003,0.450817,C[C@@H]1COC(=O)N1c1cc2nc(Nc3cnn(C4CCOCC4)c3C)ncc2cc1Cl
wild_620933,9.35,C[C@@H]1COC(=O)N1c1ccc2cnc(Nc3cnn(C4CCOCC4)c3C)nc2c1
wild_577576,46,C[C@@H]1COC[C@@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3COC3)nc12)C#N
wild_577575,196,C[C@@H]1COC[C@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3COC3)nc12)C#N
wild_624751,10,C[C@@H]1COCC[C@@H]1n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_624752,10,C[C@@H]1COCC[C@H]1n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_577553,5,C[C@@H]1COCC1Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1
wild_50518336,20,C[C@@H]1COCCN1c1ccc(OCc2ccccc2)c(c1)C(=O)Nc1ccnnc1
wild_634380,55,C[C@@H]1OC(=O)NCCCOc2ccc3[nH]nc(-c4cccc1c4)c3c2
